sku_id,product_name,product_category,specs
SKU-1001,UltraCharge Pro 9000,gadgets,"Wireless charging pad. Output: 15W max. Charging speed: comparable to standard Qi competitors at equivalent wattage. No proprietary technology. No third-party lab certification on file. Multi-device: single device only."
SKU-1002,FlexiJoint Relief Capsules,home and lifestyle,"Dietary supplement. Ingredients: glucosamine 500mg, turmeric extract 200mg, omega-3 fatty acids 300mg per serving. No clinical trials conducted. Not FDA approved. No therapeutic claims substantiated. Category: general wellness supplement."
SKU-1003,TerraNova Relaxed-Fit Cargo Trousers,fashion,"Canvas cargo trousers. Material: 80% cotton, 20% polyester. Dye process uses conventional synthetic dyes. Supply chain: three third-party manufacturers across two countries. No sustainability certification held. Carbon footprint not calculated or offset."
SKU-1004,NovaScan X3 Wireless Barcode Scanner,gadgets,"Bluetooth barcode scanner. Connectivity: Bluetooth 5.2. Battery: 18-hour life on 90-minute charge. Compatibility: iOS 14+, Android 10+, Windows 10+, macOS 12+. Reads: EAN, UPC, QR, PDF417. Range: 1.5 metres. Manufacturer spec verified."
SKU-1005,CalmSpace Bamboo Bedside Organiser,home and lifestyle,"Bedside organiser. Material: Moso bamboo veneer over MDF core. Compartments: 5. Dimensions: 32cm x 18cm x 8cm. Load capacity: 3kg distributed. Flat-pack assembly. All fixings included."
SKU-1006,OrbitBud Pro Wireless Earbuds,gadgets,"Wireless earbuds. Bluetooth: 5.3. Playback: 8 hours per charge, 32 hours with case. Water resistance: IPX5. ANC: basic passive noise isolation only — no active noise cancellation hardware. Compatibility: iOS and Android."
SKU-1007,LunaGlow LED Desk Lamp,gadgets,"LED desk lamp. Brightness levels: 5. Colour temperature: 2700K to 6500K across 5 settings. USB-A port: 5W output. Power consumption: 12W. Rated lifespan: 50,000 hours. Flicker reduction: standard PWM dimming."
SKU-1008,NebulaFit Smart Scale,gadgets,"Smart scale. Accuracy: +/- 0.1kg. Bluetooth: 4.0. App compatibility: iOS 12+, Android 8+. User profiles: 8 maximum. Max load: 180kg. Platform: tempered glass."
SKU-1009,VoltEdge Portable Power Bank 20000mAh,gadgets,"Portable power bank. Capacity: 20000mAh. USB-C: 18W input and output. USB-A: 12W each, dual ports. Smartphone recharges: approximately 4.5 for a 4400mAh battery. Weight: 340g."
SKU-1010,StarWatch Fitness Tracker,gadgets,"Fitness tracker. Heart rate sensor: optical PPG, accuracy within 10-15% vs clinical ECG under movement. Step, calorie, and sleep tracking. Workout modes: 14. Battery: 7 days typical use. Water resistance: 50 metres."
SKU-1011,ArcLight Portable Projector,gadgets,"Portable projector. Native resolution: 1080p. Brightness: 500 ANSI lumens. Input: HDMI and USB-C. Speakers: 5W stereo built-in. Lamp life: 30,000 hours. Projection size: 40 to 120 inches."
SKU-1012,CelestialKey Mechanical Keyboard,gadgets,"Mechanical keyboard. Layout: tenkeyless. Backlighting: RGB per-key. Switch options: linear, tactile, clicky. Connection: USB-C wired with braided cable. N-key rollover: yes. Top plate: aluminium. OS: Windows and macOS."
SKU-1013,PulseCore Wireless Mouse,gadgets,"Wireless mouse. Connection: 2.4GHz with nano-receiver. DPI: 800, 1200, 2400, 3200 switchable. Battery: up to 60 days on one AA. Design: ambidextrous. Surface compatibility: most surfaces excluding highly reflective glass."
SKU-1014,ZenAir Portable Air Purifier,home and lifestyle,"Air purifier. Filter stages: pre-filter, HEPA H13, activated carbon. Noise: 25dB minimum on low. Coverage: 20 square metres. Filter lifespan: approximately 6 months with daily use. Power: USB-C."
SKU-1015,CosmicBlend Nutrition Shake,home and lifestyle,"Meal replacement shake. Protein: 23g plant-based per serving. Calories: 400 per serving. Vitamins and minerals: 24 included. Flavours: chocolate, vanilla, berry. No artificial colours or flavours. Suitable for vegetarians and vegans."
SKU-1016,HorizonPure Water Filter Jug,home and lifestyle,"Water filter jug. Capacity: 3.5 litres. Filter type: activated carbon and ion exchange. Reduces: chlorine taste, limescale, copper, lead. Filter lifespan: 150 litres. Materials: BPA-free plastic."
SKU-1017,NovaNest Smart Plug,gadgets,"Smart plug. Connectivity: Wi-Fi 2.4GHz, no hub required. App: iOS 13+, Android 9+. Voice: Alexa and Google Home compatible. Max load: 2300W / 10A. Energy monitoring: real-time via app."
SKU-1018,SolarShield Sunscreen SPF50,home and lifestyle,"Sunscreen. SPF: 50 broad-spectrum UVA and UVB. Formulation: fragrance-free, dermatologist-tested. Skin type: suitable for sensitive skin. Water resistance: 40 minutes."
SKU-1019,PrismLens 4K Action Camera,gadgets,"Action camera. Video: 4K at 60fps, 1080p slow motion at 240fps. Waterproof: 10 metres without housing. Lens: 170-degree wide angle. Screen: 2-inch touchscreen. Connectivity: Wi-Fi and Bluetooth."
SKU-1020,TerraLoop Reusable Coffee Cup,home and lifestyle,"Reusable coffee cup. Material: recycled ocean plastic exterior, stainless steel interior. Hot retention: 4 hours. Cold retention: 8 hours. Lid: leak-proof. Capacity: 350ml. Dishwasher safe."
SKU-1021,AuroraSleep Eye Mask,home and lifestyle,"Sleep eye mask. Design: contoured to avoid eyelid contact. Light blocking: complete blackout in testing. Strap: adjustable elastic. Padding: memory foam. Care: machine washable."
SKU-1022,VerdantGrow Indoor Plant Food,home and lifestyle,"Liquid plant fertiliser. NPK ratio: 3-1-2. Suitable for: all indoor houseplants. Application: weekly during growing season, monthly in winter. Concentration: dilute 5ml per litre of water. Bottle: 500ml makes approximately 100 litres."
SKU-1023,CloudStep Memory Foam Slippers,fashion,"Memory foam slippers. Footbed: memory foam, adapts to foot shape over time with regular wear. Sole: non-slip rubber. Upper: micro-fleece. Care: machine washable at 30 degrees. Sizes: 36 to 47."
SKU-1024,Arctic Puffer Jacket,fashion,"Puffer jacket. Shell: DWR water-repellent coated polyester. Insulation: synthetic, rated to -10 degrees comfort. Packable: folds into chest pocket. Pockets: 4 exterior. Sizes: XS to 3XL."
SKU-1025,CosmoKnit Merino Wool Sweater,fashion,"Crew-neck sweater. Material: 100% merino wool. Properties: natural temperature regulation, moisture wicking, odour resistant. Care: machine washable at 30 degrees on wool cycle. Colours: 12. Sizes: XS to XXL."
SKU-1026,TerraTread Hiking Boots,fashion,"Hiking boots. Waterproofing: membrane keeps feet dry in sustained rain. Outsole: Vibram rubber. Collar: padded ankle and tongue. Sizes: 36 to 48. Terrain: mixed, day hiking."
SKU-1027,FlexRun Performance Leggings,fashion,"Performance leggings. Fabric: four-way stretch, moisture-wicking. Waist: high-rise with hidden side pocket. Sun protection: UPF 50+. Sizes: XS to XXL. Care: machine washable at 40 degrees."
SKU-1028,SolsticeWool Beanie,fashion,"Knitted beanie. Material: 55% lambswool, 45% acrylic. Fit: one size, stretchy ribbed knit. Care: hand wash cold or dry clean. Colours: 8."
SKU-1029,NovaDenim Slim Jeans,fashion,"Slim-fit jeans. Material: 98% cotton, 2% elastane. Cut: slim through thigh and knee. Construction: five-pocket, zip fly, button closure. Care: machine washable at 30 degrees. Sizes: waist 28-40, length 30-34."
