sku_id,product_name,product_category,current_stock,sales_velocity_weekly,days_of_supply,season_relevance,our_price,competitor_price,return_rate_pct,notes
SKU-1001,UltraCharge Pro 9000,gadgets,4200,126,233,evergreen,49.99,34.99,18.4,"High return rate driven by complaints about charging speed not matching listing claims. Listing under Agent 1 review."
SKU-1002,FlexiJoint Relief Capsules,home and lifestyle,1850,84,154,evergreen,32.99,22.50,21.7,"Illegal health claims on listing. Agent 1 flagged for auto-block. High return rate and falling velocity since complaint volume increased."
SKU-1003,TerraNova Relaxed-Fit Cargo Trousers,fashion,6800,661,72,seasonal,67.99,58.00,3.1,"Post-peak seasonal stock. Listing flagged by Agent 1 for unsubstantiated sustainability claims. No significant return spike but velocity declining as season ends."
SKU-1004,NovaScan X3 Wireless Barcode Scanner,gadgets,920,429,15,evergreen,54.99,49.99,1.2,"Healthy performer. Listing accurate and Agent 1 approved. Low return rate. Risk of stockout within 15 days."
SKU-1005,CalmSpace Bamboo Bedside Organiser,home and lifestyle,3100,556,39,evergreen,29.99,27.99,2.8,"Steady seller. Listing accurate and approved. Slight competitor price undercut. One damaged delivery complaint — attributed to carrier not product."
SKU-1006,OrbitBud Pro Wireless Earbuds,gadgets,2700,305,62,evergreen,79.99,64.99,14.2,"Elevated return rate driven by false ANC claim on listing. Customers expecting noise cancellation hardware that does not exist. Agent 1 flagged."
SKU-1007,LunaGlow LED Desk Lamp,gadgets,1540,770,14,evergreen,34.99,31.99,1.8,"Strong seller with accurate listing. Risk of stockout within 14 days. Competitor price slightly lower."
SKU-1008,NebulaFit Smart Scale,gadgets,870,381,16,evergreen,44.99,39.99,6.3,"Moderate return rate linked to 16-profile listing claim vs actual 8-profile limit. Agent 1 flagged. Competitor priced lower."
SKU-1009,VoltEdge Portable Power Bank 20000mAh,gadgets,2100,612,24,evergreen,39.99,37.99,2.1,"Solid performer. Listing accurate and approved. Slight competitor undercut. No listing issues."
SKU-1010,StarWatch Fitness Tracker,gadgets,3300,471,49,evergreen,89.99,79.99,11.8,"Elevated return rate linked to clinical-grade accuracy claim on listing. Heart rate sensor accuracy does not match claim. Agent 1 flagged."
SKU-1011,ArcLight Portable Projector,gadgets,640,204,22,evergreen,199.99,189.99,2.4,"Steady performer. Listing accurate and approved. Competitor slightly cheaper. No issues."
SKU-1012,CelestialKey Mechanical Keyboard,gadgets,980,490,14,evergreen,99.99,94.99,1.6,"Strong performer. Listing accurate and approved. Approaching stockout. Competitor marginally cheaper."
SKU-1013,PulseCore Wireless Mouse,gadgets,1760,648,19,evergreen,29.99,26.99,8.9,"Elevated return rate linked to glass surface compatibility claim on listing. Spec sheet explicitly excludes highly reflective glass. Agent 1 flagged."
SKU-1014,ZenAir Portable Air Purifier,home and lifestyle,1100,335,23,evergreen,54.99,49.99,1.9,"Steady seller. Listing accurate and approved. Competitor slightly cheaper."
SKU-1015,CosmicBlend Nutrition Shake,home and lifestyle,3800,1400,19,evergreen,34.99,32.99,1.4,"High velocity, strong performer. Listing accurate and approved. Occasional wrong-flavour fulfilment errors — logistics issue not product issue."
SKU-1016,HorizonPure Water Filter Jug,home and lifestyle,2200,592,26,evergreen,27.99,25.99,1.7,"Steady seller. Listing accurate. Competitor slightly cheaper."
SKU-1017,NovaNest Smart Plug,gadgets,3400,881,27,evergreen,19.99,17.99,1.3,"Strong performer. Listing accurate and approved. Competitor undercut by $2."
SKU-1018,SolarShield Sunscreen SPF50,home and lifestyle,4700,2193,15,seasonal,14.99,13.49,1.1,"High velocity seasonal product. Listing accurate. Approaching end of peak season — velocity will drop sharply."
SKU-1019,PrismLens 4K Action Camera,gadgets,760,296,18,evergreen,149.99,144.99,1.8,"Solid performer. Listing accurate and approved. Customer enquiry about accessories — opportunity for add-on listings."
SKU-1020,TerraLoop Reusable Coffee Cup,home and lifestyle,2900,677,30,evergreen,22.99,21.99,2.2,"Steady seller. Listing accurate. Competitor marginally cheaper."
SKU-1021,AuroraSleep Eye Mask,home and lifestyle,1800,467,27,evergreen,19.99,18.49,2.6,"Steady seller. Listing accurate and approved."
SKU-1022,VerdantGrow Indoor Plant Food,home and lifestyle,3200,622,36,evergreen,12.99,11.99,1.4,"Steady seller. Listing accurate. Competitor slightly cheaper."
SKU-1023,CloudStep Memory Foam Slippers,fashion,5100,496,72,seasonal,34.99,29.99,12.4,"Elevated return rate linked to overnight moulding claim on listing. Spec states adapts over time with regular wear — not overnight. Agent 1 flagged. Post-peak seasonal stock building."
SKU-1024,Arctic Puffer Jacket,fashion,3900,620,44,seasonal,129.99,119.99,7.6,"Moderate return rate. Some complaints about warmth rating not matching -10 degree comfort claim. Listing under review. Seasonal stock with 44 days of supply."
