sku_id,product_name,listing_description,listing_claims
SKU-1001,UltraCharge Pro 9000,"Say goodbye to slow charging forever. The UltraCharge Pro 9000 is the most advanced wireless charger on the market, engineered with proprietary CosmicWave™ technology to leave every competitor behind.","Charges 10x faster than any competitor. 300W CosmicWave™ wireless power. Independent lab-tested and certified. Charges two devices simultaneously."
SKU-1002,FlexiJoint Relief Capsules,"Finally, a natural solution that actually works. FlexiJoint Relief Capsules are the breakthrough supplement that doctors are recommending for joint pain sufferers worldwide.","Clinically proven to cure joint pain in 14 days. FDA-approved formula. Reverses cartilage damage permanently. Results guaranteed."
SKU-1003,TerraNova Relaxed-Fit Cargo Trousers,"Look good and do good. TerraNova Cargo Trousers are built for adventure and made with the planet in mind — every pair is a step toward a more sustainable future.","100% sustainable materials. Fully carbon neutral across the entire supply chain. Certified ethical by the Global Sustainability Council."
SKU-1004,NovaScan X3 Wireless Barcode Scanner,"A reliable everyday barcode scanner built for small businesses, home libraries, and event check-in. Connects fast, lasts all day, and reads every standard barcode format.","Bluetooth 5.2. 18-hour battery life on a 90-minute charge. Compatible with iOS 14+, Android 10+, Windows 10+, macOS 12+. Reads EAN, UPC, QR, and PDF417 up to 1.5 metres."
SKU-1005,CalmSpace Bamboo Bedside Organiser,"Keep your nightstand tidy with five dedicated compartments. The CalmSpace Organiser is made from natural bamboo and arrives ready to assemble in minutes.","Solid bamboo construction. Five compartments. Holds up to 3kg. Dimensions 32cm x 18cm x 8cm. Assembly in approximately 10 minutes."
SKU-1006,OrbitBud Pro Wireless Earbuds,"Immersive sound, all day long. OrbitBud Pro earbuds feature active noise cancellation and a secure fit for workouts, commutes, and long listening sessions.","Active noise cancellation. 8 hours playback, 32 hours with case. IPX5 water resistant. Bluetooth 5.3."
SKU-1007,LunaGlow LED Desk Lamp,"A flicker-free desk lamp with five brightness levels and five colour temperatures to match any task or time of day. Includes a USB-A port to keep your devices topped up.","Flicker-free LED. 5 brightness levels. 5 colour temperatures from 2700K to 6500K. 5W USB-A charging port. 50,000-hour rated lifespan. 12W energy consumption."
SKU-1008,NebulaFit Smart Scale,"Step on and sync. NebulaFit connects to the CosmicHealth app instantly and stores data for up to 16 users — perfect for the whole household.","Accurate to 0.1kg. Bluetooth sync to CosmicHealth app. Supports 16 user profiles. Max load 180kg. Compatible with iOS 12+ and Android 8+."
SKU-1009,VoltEdge Portable Power Bank 20000mAh,"Never run out of battery again. The VoltEdge packs 20000mAh into a slim, pocket-friendly aluminium body with ports for three devices at once.","20000mAh capacity. USB-C 18W input and output. Dual USB-A at 12W each. Charges a typical smartphone approximately 4.5 times. Weight 340g."
SKU-1010,StarWatch Fitness Tracker,"Track every step, every heartbeat, every night's sleep. StarWatch gives you clinical-grade health monitoring on your wrist, 24 hours a day.","Clinical-grade heart rate accuracy. 14 workout modes. 7-day battery life. Water resistant to 50 metres. Tracks steps, calories, and sleep stages."
SKU-1011,ArcLight Portable Projector,"Native 1080p in a package that fits in your bag. ArcLight is your portable cinema for presentations, movie nights, and everything in between.","Native 1080p. 500 ANSI lumens. HDMI and USB-C input. Built-in 5W stereo speakers. 30,000-hour lamp life. Projects 40 to 120 inches."
SKU-1012,CelestialKey Mechanical Keyboard,"A tenkeyless mechanical keyboard with per-key RGB lighting and swappable switches. Built for typists and gamers who refuse to compromise.","Tenkeyless layout. Per-key RGB. Linear, tactile, or clicky switches. USB-C wired. Aluminium top plate. N-key rollover. Windows and macOS compatible."
